 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_60min_03.TIF:0006-0065-0029:6,2818,3709.220,2655,13068,28.977,65.198,188.496,10452583.000,10452583.000,6
2,20190816_foci_10ugml_60min_03.TIF:0006-0085-0245:6,2828,3717.750,2776,8029,245.208,85.415,188.496,10513797.000,10513797.000,6
3,20190816_foci_10ugml_60min_03.TIF:0006-0110-0163:6,2828,3774.662,2773,15876,163.045,110.393,188.496,10674743.000,10674743.000,6
4,20190816_foci_10ugml_60min_03.TIF:0006-0145-0247:6,2828,4053.023,2817,18398,247.303,145.339,188.496,11461948.000,11461948.000,6
5,20190816_foci_10ugml_60min_03.TIF:0006-0158-0432:6,2828,4168.158,2896,15368,431.252,157.703,188.496,11787551.000,11787551.000,6
6,20190816_foci_10ugml_60min_03.TIF:0006-0177-0302:6,2828,4054.948,2992,11930,302.116,177.041,188.496,11467394.000,11467394.000,6
7,20190816_foci_10ugml_60min_03.TIF:0006-0256-0161:6,2828,4205.710,2940,7487,161.933,255.884,188.496,11893747.000,11893747.000,6
8,20190816_foci_10ugml_60min_03.TIF:0006-0278-0348:6,2828,3655.485,2777,5592,348.170,278.159,188.496,10337712.000,10337712.000,6
9,20190816_foci_10ugml_60min_03.TIF:0006-0309-0160:6,2828,3984.262,2877,8052,160.129,308.722,188.496,11267492.000,11267492.000,6
10,20190816_foci_10ugml_60min_03.TIF:0006-0342-0089:6,2828,4438.793,3100,7247,88.762,342.012,188.496,12552906.000,12552906.000,6
11,20190816_foci_10ugml_60min_03.TIF:0006-0340-0400:6,2828,3693.860,2788,9837,400.623,339.761,188.496,10446235.000,10446235.000,6
12,20190816_foci_10ugml_60min_03.TIF:0006-0360-0210:6,2828,4006.783,3001,14357,209.201,360.679,188.496,11331182.000,11331182.000,6
13,20190816_foci_10ugml_60min_03.TIF:0006-0370-0286:6,2828,3549.494,2747,11477,285.912,370.274,188.496,10037968.000,10037968.000,6
14,20190816_foci_10ugml_60min_03.TIF:0006-0388-0148:6,2828,3904.840,2859,6167,147.976,387.894,188.496,11042887.000,11042887.000,6
15,20190816_foci_10ugml_60min_03.TIF:0006-0407-0065:6,2828,3795.165,2843,7760,65.383,406.873,188.496,10732727.000,10732727.000,6
16,20190816_foci_10ugml_60min_03.TIF:0006-0436-0234:6,2828,3969.606,2918,13482,233.870,435.277,188.496,11226047.000,11226047.000,6
17,20190816_foci_10ugml_60min_03.TIF:0006-0431-0415:6,2828,3526.012,2722,5280,415.110,431.587,188.496,9971563.000,9971563.000,6
18,20190816_foci_10ugml_60min_03.TIF:0006-0460-0030:6,2828,3638.051,2764,9686,30.320,460.086,188.496,10288409.000,10288409.000,6
19,20190816_foci_10ugml_60min_03.TIF:0003-0069-0040:3,32,6087.969,3798,9059,40.180,69.154,18.850,194815.000,194815.000,3
20,20190816_foci_10ugml_60min_03.TIF:0004-0065-0020:4,32,7279.094,4192,13105,20.205,65.145,18.850,232931.000,232931.000,4
21,20190816_foci_10ugml_60min_03.TIF:0004-0076-0039:4,32,7039.031,3895,10875,39.314,76.067,18.850,225249.000,225249.000,4
22,20190816_foci_10ugml_60min_03.TIF:0004-0050-0028:4,32,7961.156,4600,11158,27.785,50.065,18.850,254757.000,254757.000,4
23,20190816_foci_10ugml_60min_03.TIF:0005-0076-0040:5,32,6322.188,3935,9924,40.185,75.965,18.850,202310.000,202310.000,5
24,20190816_foci_10ugml_60min_03.TIF:0005-0049-0031:5,32,6281.312,3263,8507,30.933,49.232,18.850,201002.000,201002.000,5
25,20190816_foci_10ugml_60min_03.TIF:0006-0057-0017:6,32,7418.750,4440,13068,17.115,56.909,18.850,237400.000,237400.000,6
26,20190816_foci_10ugml_60min_03.TIF:0006-0070-0024:6,32,5391.688,3505,9792,24.168,69.975,18.850,172534.000,172534.000,6
27,20190816_foci_10ugml_60min_03.TIF:0006-0067-0007:6,32,4820.406,3481,7836,7.072,67.128,18.850,154253.000,154253.000,6
28,20190816_foci_10ugml_60min_03.TIF:0007-0064-0024:7,32,12616.250,4026,22755,24.408,64.397,18.850,403720.000,403720.000,7
29,20190816_foci_10ugml_60min_03.TIF:0007-0077-0038:7,32,8037.125,4427,14787,37.989,77.199,18.850,257188.000,257188.000,7
30,20190816_foci_10ugml_60min_03.TIF:0007-0081-0030:7,32,5382.594,3584,10191,30.253,81.202,18.850,172243.000,172243.000,7
31,20190816_foci_10ugml_60min_03.TIF:0007-0061-0038:7,32,5239.969,3789,9781,38.105,60.973,18.850,167679.000,167679.000,7
32,20190816_foci_10ugml_60min_03.TIF:0008-0065-0023:8,32,9637.062,4541,18298,23.189,65.093,18.850,308386.000,308386.000,8
33,20190816_foci_10ugml_60min_03.TIF:0008-0073-0037:8,32,5537.094,3812,8528,37.082,73.106,18.850,177187.000,177187.000,8
34,20190816_foci_10ugml_60min_03.TIF:0009-0063-0019:9,32,11047.594,4476,18449,19.329,63.351,18.850,353523.000,353523.000,9
35,20190816_foci_10ugml_60min_03.TIF:0010-0062-0015:10,32,7551.625,3938,13639,15.062,62.144,18.850,241652.000,241652.000,10
36,20190816_foci_10ugml_60min_03.TIF:0010-0074-0034:10,32,6279.594,3592,13571,34.212,74.171,18.850,200947.000,200947.000,10
